h3_polyfill,Trees,Habitats,Livestock production,Crop production,All food production,geometry_wkt
8618748cfffffff,3 - high,3 - high,3 - high,1 - low,3 - high,"POLYGON ((234698.268421825 97779.01207140673, 231329.04325347574 96726.97172720483, 230761.80102649154 93141.9389874581, 233564.99804264156 90609.74635365949, 236934.07199973872 91663.30901233616, 237500.10085650164 95247.5423886505, 234698.268421825 97779.01207140673))"
861955907ffffff,1 - low,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((397110.4038802187 552323.8741307848, 393874.20504188404 551406.1550347632, 393349.6050776685 548007.6078986977, 396062.54795276385 545527.3727808023, 399298.78325565736 546446.6280275218, 399822.0399059968 549844.5824505817, 397110.4038802187 552323.8741307848))"
861946307ffffff,1 - low,2 - medium,2 - medium,3 - high,3 - high,"POLYGON ((495428.44729749486 489489.17422200274, 492223.85215405765 488559.03470076306, 491720.03372037574 485156.85263302305, 494422.1015104919 482685.4231445865, 497626.69545991934 483617.0789024391, 498129.22348699695 487018.64814194606, 495428.44729749486 489489.17422200274))"
861955597ffffff,3 - high,2 - medium,3 - high,1 - low,2 - medium,"POLYGON ((307013.69295430713 533312.3746481615, 303736.55087961105 532384.6337010887, 303190.5593475577 528961.2101758467, 305923.07563686545 526466.1347931587, 309200.25746067095 527395.4272636551, 309744.8839463734 530818.2438131821, 307013.69295430713 533312.3746481615))"
86194e737ffffff,3 - high,1 - low,1 - low,3 - high,3 - high,"POLYGON ((560064.8562321153 216019.49926426285, 556846.9737557593 215017.9306132974, 556348.0133571199 211535.3880862248, 559068.1060450637 209055.13696680614, 562285.868708203 210058.18817640957, 562783.659156927 213540.00827892515, 560064.8562321153 216019.49926426285))"
8619432e7ffffff,2 - medium,1 - low,1 - low,3 - high,3 - high,"POLYGON ((524488.2570150406 268131.9969809549, 521262.55286924867 267142.55045342277, 520757.9278353415 263669.73062886647, 523480.2082530681 261187.0613590519, 526705.8169921866 262178.00229519705, 527209.2413877016 265650.11840652506, 524488.2570150406 268131.9969809549))"
861942417ffffff,1 - low,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((390105.5452741676 426079.77144990594, 386846.3544610144 425126.4166049112, 386317.00621458446 421680.607500912, 389048.1501862681 419188.80079873686, 392307.32499283814 420143.686850688, 392835.37252398115 423588.84865660546, 390105.5452741676 426079.77144990594))"
861973737ffffff,1 - low,3 - high,1 - low,1 - low,1 - low,"POLYGON ((379630.7673517698 599269.7157938362, 376394.9582179127 598364.3059211877, 375867.4618944778 594979.9766336757, 378577.140190068 592501.6310872181, 381813.0075631945 593408.5814776068, 382339.1390897953 596792.3370882501, 379630.7673517698 599269.7157938362))"
86195db37ffffff,3 - high,1 - low,1 - low,3 - high,2 - medium,"POLYGON ((518426.93150783546 226388.3472198196, 515192.75895385805 225387.2395830087, 514685.54347626684 221899.6436104944, 517413.687535317 219413.87714230322, 520647.74758869177 220416.4756664788, 521153.7767507599 223903.35010192374, 518426.93150783546 226388.3472198196))"
86194e2f7ffffff,1 - low,3 - high,1 - low,2 - medium,1 - low,"POLYGON ((591188.8025670934 175826.72302476177, 587978.6836981976 174816.1044145454, 587484.6538781809 171327.12580417324, 590201.8886853578 168849.50250131084, 593411.8689921668 169861.5934882901, 593904.7537077611 173349.8357471113, 591188.8025670934 175826.72302476177))"
8619558d7ffffff,1 - low,1 - low,2 - medium,1 - low,1 - low,"POLYGON ((380463.6122628634 524811.2759914214, 377215.913379577 523884.97269754263, 376686.75716387003 520472.93278743024, 379406.63958288607 517987.80204381037, 382654.36548124533 518915.6434484853, 383182.1826355663 522327.07770641835, 380463.6122628634 524811.2759914214))"
86195b107ffffff,3 - high,3 - high,3 - high,2 - medium,3 - high,"POLYGON ((329563.177932801 113853.29351266994, 326234.8641264422 112811.05676814175, 325686.66150461714 109250.10418604838, 328467.9677777458 106732.17302426949, 331796.1321153952 107775.91825241075, 332343.1403398814 111336.0865444956, 329563.177932801 113853.29351266994))"
861943787ffffff,3 - high,1 - low,3 - high,3 - high,3 - high,"POLYGON ((473919.2632746297 302444.2807212899, 470677.01504838595 301461.3895116439, 470162.7271805279 297989.7878980815, 472891.9171546641 295501.77115866664, 476134.08860041446 296486.1689452464, 476647.14752852824 299957.077197575, 473919.2632746297 302444.2807212899))"
8619556a7ffffff,3 - high,1 - low,3 - high,1 - low,1 - low,"POLYGON ((326721.9485632832 479989.8382269613, 323444.55051413307 479048.1567608579, 322902.06183116767 475609.07385291846, 325638.31177307613 473112.3013263396, 328915.72413064673 474055.52838322904, 329456.8729363497 477493.98261600605, 326721.9485632832 479989.8382269613))"
861951b8fffffff,2 - medium,2 - medium,1 - low,3 - high,2 - medium,"POLYGON ((361314.557373432 401163.80088829546, 358039.4801674637 400201.98122466746, 357503.1571313314 396741.6657909054, 360243.21228705964 394243.83035823685, 363518.26579092594 395207.1845855801, 364053.28853507095 398666.8399517116, 361314.557373432 401163.80088829546))"
86195d4b7ffffff,2 - medium,3 - high,2 - medium,2 - medium,2 - medium,"POLYGON ((413436.7707427051 230732.68632160156, 410158.87878516613 229726.86876247235, 409629.984327166 226219.56406955415, 412380.2013711849 223718.80555850477, 415657.9905303356 224726.13257108047, 416185.6661272127 228232.70897581847, 413436.7707427051 230732.68632160156))"
86195da2fffffff,2 - medium,1 - low,1 - low,3 - high,3 - high,"POLYGON ((521350.41991647874 203970.8271200657, 518114.3837183545 202963.82486982935, 517607.06962875504 199469.64923050068, 520336.96907397243 196983.20675715088, 523572.88308580813 197991.6967584308, 524079.020504618 201485.14182096132, 521350.41991647874 203970.8271200657))"
86195ddafffffff,3 - high,1 - low,3 - high,3 - high,3 - high,"POLYGON ((453549.79161763325 269685.99705950473, 450294.23286759737 268693.0312872443, 449774.71565917274 265206.4872164837, 452511.9802891085 262713.6179475824, 455767.4499785291 263708.0905351415, 456285.74477699294 267193.9258934106, 453549.79161763325 269685.99705950473))"
861874167ffffff,3 - high,3 - high,3 - high,2 - medium,3 - high,"POLYGON ((230761.80102649154 93141.9389874581, 227390.39877654455 92088.41883841844, 226822.34601260448 88501.18338203322, 229626.90859847728 85968.27013732106, 232998.1576736694 87023.31255946757, 233564.99804264156 90609.74635365949, 230761.80102649154 93141.9389874581))"
86187400fffffff,1 - low,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((212748.153257121 80685.85659203335, 209367.9017942433 79627.93171690893, 208796.22193125167 76033.28836411281, 211606.00596569682 73497.37879691934, 214986.0993817594 74556.82707852338, 215556.56751706672 78150.66192748887, 212748.153257121 80685.85659203335))"
86194359fffffff,1 - low,1 - low,1 - low,1 - low,1 - low,"POLYGON ((454671.354850006 339673.0803891911, 451426.3992946681 338699.3379150615, 450909.02637169353 335236.42848960345, 453637.8585509796 332747.9410104538, 456882.7548355018 333723.19680738763, 457398.8788911097 337185.42705035565, 454671.354850006 339673.0803891911))"
86194265fffffff,3 - high,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((418142.7211234711 365116.36888753826, 414886.1118873472 364147.6428279218, 414361.46729389735 360686.14011206815, 417094.702144232 358194.0349272959, 420351.2664141051 359164.28281706065, 420874.64148521563 362625.1143429028, 418142.7211234711 365116.36888753826))"
861946027ffffff,1 - low,2 - medium,2 - medium,2 - medium,2 - medium,"POLYGON ((478541.8168663266 520369.20985118125, 475334.98675886693 519446.78433824703, 474828.30094647454 516052.5182378518, 477529.75234343467 513581.27874997933, 480736.59578186076 514505.2248264174, 481241.97516824165 517898.89004581736, 478541.8168663266 520369.20985118125))"
861955467ffffff,1 - low,3 - high,1 - low,1 - low,1 - low,"POLYGON ((337586.69366836397 509311.9110471753, 334318.4882651894 508379.0200108534, 333779.0886957642 504952.79019961343, 336509.2422501157 502460.0669165242, 339777.47330498917 503394.50303088373, 340315.52585027413 506820.11757838295, 337586.69366836397 509311.9110471753))"
86194acafffffff,1 - low,2 - medium,1 - low,1 - low,1 - low,"POLYGON ((521233.3001263704 160502.96472575347, 517991.3052766678 159484.25252524763, 517482.6190497107 155976.38306445285, 520217.0877850196 153487.97466689898, 523458.94199773856 154508.16916264687, 523966.46877629595 158015.29011644237, 521233.3001263704 160502.96472575347))"
86195c2a7ffffff,1 - low,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((403927.24438695004 271231.779429208, 400651.0243364902 270236.4803085912, 400121.06554098066 266740.49014881335, 402868.5651766024 264240.51144993765, 406144.7009157487 265237.32614398835, 406673.4220164977 268732.60428259906, 403927.24438695004 271231.779429208))"
86195eb57ffffff,3 - high,3 - high,3 - high,1 - low,1 - low,"POLYGON ((341325.7511575792 292325.30132192397, 338026.36027549516 291332.3201073036, 337483.5315656393 287830.7765683338, 340241.3588587137 285322.9226191919, 343540.68009079626 286317.4324750928, 344082.2443755301 289818.2679528895, 341325.7511575792 292325.30132192397))"
86195582fffffff,1 - low,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((397727.74702037143 536244.5637475915, 394489.18536704726 535322.3652906009, 393964.31149053934 531917.9658143017, 396679.337538777 529436.3645831054, 399917.92887638963 530360.0985230975, 400441.465168828 533763.8984266453, 397727.74702037143 536244.5637475915))"
8619424efffffff,1 - low,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((396712.9126768262 408266.16644313384, 393453.77820784046 407308.2203271874, 392925.4750068835 403857.4471480093, 395657.5990938979 401365.27477277606, 398916.7092329264 402324.7497278767, 399443.7203036086 405774.86848452274, 396712.9126768262 408266.16644313384))"
861951947ffffff,3 - high,2 - medium,3 - high,1 - low,2 - medium,"POLYGON ((369925.66356531065 436635.79664541, 366659.6153569655 435684.30039131327, 366125.9907058969 432238.22289157996, 368859.72574354423 429744.2861434858, 372125.7646585368 430697.31784079166, 372658.0785218277 434142.7510984307, 369925.66356531065 436635.79664541))"
8619422dfffffff,1 - low,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((444277.1404959182 353085.44952910993, 441029.7737892298 352114.82869450544, 440510.51338047534 348654.4160632911, 443239.8774258781 346165.29886093346, 446487.1915291825 347137.43597154255, 447005.19487175473 350597.17429345095, 444277.1404959182 353085.44952910993))"
86195d12fffffff,3 - high,2 - medium,2 - medium,3 - high,2 - medium,"POLYGON ((484822.6002485323 229328.31768503366, 481574.5872617377 228326.12082260102, 481060.4946563209 224832.71397824615, 483795.6130961141 222342.22738062736, 487043.517298234 223345.9212378469, 487556.41251765576 226838.60502905556, 484822.6002485323 229328.31768503366))"
86194e29fffffff,2 - medium,2 - medium,1 - low,2 - medium,2 - medium,"POLYGON ((579330.7629339996 178761.6923441736, 576115.9736012316 177751.1873684498, 575619.6466226385 174260.7363718049, 578339.2593706899 171781.52683625725, 581553.9121041477 172793.50657335616, 582049.0893447279 176283.2214299402, 579330.7629339996 178761.6923441736))"
861942c9fffffff,1 - low,2 - medium,3 - high,1 - low,1 - low,"POLYGON ((403027.79102438426 449560.57159191277, 399777.67542412574 448614.4356243294, 399251.8016281191 445179.5458014773, 401977.3493947458 442691.4285257729, 405227.45758248353 443639.0948834921, 405752.0261038028 447073.3483757649, 403027.79102438426 449560.57159191277))"
86195578fffffff,2 - medium,3 - high,3 - high,1 - low,1 - low,"POLYGON ((330538.5915603419 484366.82940882817, 327263.4783641447 483426.57500161324, 326721.9485632832 479989.8382269613, 329456.8729363497 477493.98261600605, 332732.0018865558 478435.78216224315, 333272.1914075425 481871.8924186211, 330538.5915603419 484366.82940882817))"
861943d6fffffff,2 - medium,1 - low,1 - low,3 - high,3 - high,"POLYGON ((516539.96675609157 361532.1208250484, 513324.55192072876 360567.75408272416, 512821.2578667953 357124.6670071248, 515534.6174104562 354646.61224148906, 518749.976384548 355612.48336040543, 519252.03234669485 359054.9051466319, 516539.96675609157 361532.1208250484))"
86195995fffffff,2 - medium,3 - high,2 - medium,3 - high,3 - high,"POLYGON ((474672.49755272554 139156.96137498048, 471407.9837893724 138129.8579872639, 470889.3171384613 134605.98310625248, 473636.3291207978 132109.9732316582, 476900.6959207549 133138.56396136063, 477418.19837217504 136661.6775904685, 474672.49755272554 139156.96137498048))"
861875d0fffffff,3 - high,3 - high,2 - medium,2 - medium,2 - medium,"POLYGON ((277258.6123804407 42958.8413783024, 273900.0319720573 41894.52986072496, 273340.69379894465 38301.73415022498, 276141.11446636985 35774.068830973294, 279499.51539125293 36839.88658790098, 280057.67582728586 40431.8638421316, 277258.6123804407 42958.8413783024))"
861942077ffffff,1 - low,1 - low,1 - low,2 - medium,1 - low,"POLYGON ((446072.56218371843 406350.0493671348, 442833.97712898726 405394.2246487435, 442316.57295110356 401952.6105603638, 445039.0307602424 399467.47306674614, 448277.5855636664 400424.817823446, 448793.7134906469 403865.78029950237, 446072.56218371843 406350.0493671348))"
86195d317ffffff,2 - medium,2 - medium,1 - low,2 - medium,2 - medium,"POLYGON ((488408.4193712943 190377.3901874005, 485156.5627659592 189364.8570433522, 484642.09438416257 185859.7375294224, 487380.66419601406 183367.89043564087, 490632.3950780006 184381.9153014553, 491145.68254196673 187886.29588538152, 488408.4193712943 190377.3901874005))"
86194c59fffffff,1 - low,2 - medium,1 - low,3 - high,2 - medium,"POLYGON ((636066.1106013608 256210.48168480204, 632886.5217430366 255224.02137095982, 632404.8084167014 251769.71452197985, 635103.8470529784 249302.56805744494, 638283.3271114512 250290.502385657, 638763.8779831778 253744.1094767034, 636066.1106013608 256210.48168480204))"
861955ccfffffff,3 - high,3 - high,3 - high,1 - low,1 - low,"POLYGON ((346800.98442878225 528272.2349626472, 343539.6861546077 527345.1481045334, 343002.82254532515 523927.72700257075, 345728.6087483809 521437.9994308548, 348989.939649088 522366.6305231522, 349525.4524149991 525783.4451732887, 346800.98442878225 528272.2349626472))"
861942047ffffff,1 - low,1 - low,1 - low,2 - medium,2 - medium,"POLYGON ((448277.5855636664 400424.817823446, 445039.0307602424 399467.47306674614, 444521.94922622637 396024.2255609391, 447244.6965782594 393538.9770416131, 450483.2184114064 394497.84103307547, 450999.02654383937 397940.43457536, 448277.5855636664 400424.817823446))"
86195b84fffffff,3 - high,3 - high,3 - high,1 - low,3 - high,"POLYGON ((363913.96649455937 111083.27230956487, 360599.5124845095 110042.26674657819, 360058.10456782504 106487.41406801666, 362832.33504889836 103974.34978083754, 366146.63626637065 105016.85755006058, 366686.86048128514 108570.92778491165, 363913.96649455937 111083.27230956487))"
86194e8f7ffffff,3 - high,1 - low,1 - low,3 - high,3 - high,"POLYGON ((601495.9338090257 248797.661548213, 598300.4066904059 247807.26781398925, 597811.2066447935 244343.6075420496, 600518.7044945069 241871.04688933515, 603714.1223479176 242862.91976575856, 604202.1522717278 246325.87447002355, 601495.9338090257 248797.661548213))"
86195906fffffff,2 - medium,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((452588.85946844175 95146.12941316632, 449309.3500542438 94105.96653032544, 448785.16420120327 90564.22280410628, 451541.64069499844 88063.42361510874, 454820.9851579726 89105.07125800202, 455344.01874994807 92646.03371510704, 452588.85946844175 95146.12941316632))"
86194318fffffff,1 - low,3 - high,2 - medium,3 - high,2 - medium,"POLYGON ((502338.48153735424 327586.47163533006, 499111.97025378025 326612.0225286025, 498604.5216510203 323154.55160062975, 501324.81484825385 320672.2106826166, 504551.2574559267 321648.1637631617, 505057.47621440375 325104.9540799822, 502338.48153735424 327586.47163533006))"
86194c5afffffff,1 - low,3 - high,1 - low,2 - medium,1 - low,"POLYGON ((645595.8025970152 259167.20194058958, 642420.7509692507 258182.071719099, 641941.1441990433 254730.64126419032, 644637.7503678106 252265.03912808216, 647812.6936823991 253251.6420432136, 648291.139789657 256702.3747118637, 645595.8025970152 259167.20194058958))"
861959097ffffff,1 - low,3 - high,2 - medium,1 - low,1 - low,"POLYGON ((414089.0050998656 109973.02614160918, 410795.2866933125 108934.61180531187, 410263.8272753067 105389.56596512866, 413027.2561873497 102883.71337022068, 416320.8183665417 103923.62120083082, 416851.1085393095 107467.88851397837, 414089.0050998656 109973.02614160918))"
8619424d7ffffff,2 - medium,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((384727.7622828271 411335.2448862984, 381464.0539635844 410377.5068750159, 380933.15929700225 406925.4254957453, 383667.27057400654 404431.7363847864, 386930.9571349765 405391.0055574332, 387460.5548676926 408842.4329444584, 384727.7622828271 411335.2448862984))"
861943c9fffffff,3 - high,1 - low,2 - medium,3 - high,3 - high,"POLYGON ((475644.7749896796 355866.70900362235, 472411.1096181042 354898.5609981575, 471898.74817953 351445.3658705287, 474621.30133406655 348960.9897889171, 477854.9123206377 349930.64883093664, 478366.025214268 353383.1732003855, 475644.7749896796 355866.70900362235))"
86194e4e7ffffff,2 - medium,1 - low,1 - low,3 - high,3 - high,"POLYGON ((540020.3290679669 226422.5684270842, 536795.3487278942 225422.682450052, 536292.6027052908 221939.44035757578, 539016.0176182648 219456.8043362262, 542240.8839106893 220458.17750292673, 542742.4500015811 223940.6998305539, 540020.3290679669 226422.5684270842))"
861948517ffffff,2 - medium,2 - medium,1 - low,2 - medium,1 - low,"POLYGON ((613395.5293071292 159508.18973529447, 610192.7039868971 158494.46675156892, 609702.5467192658 155004.88756619964, 612416.3476202467 152529.77286191273, 615619.0262920585 153544.96236745664, 616108.0513609722 157033.80040612537, 613395.5293071292 159508.18973529447))"
861973037ffffff,2 - medium,2 - medium,2 - medium,2 - medium,1 - low,"POLYGON ((400578.4067715218 614817.4362915367, 397354.0689342096 613917.4802872549, 396831.945133057 610543.1967500724, 399535.52309259056 608069.4350496744, 402759.92276242067 608970.9281230296, 403280.68332509225 612344.6460126067, 400578.4067715218 614817.4362915367))"
861958c6fffffff,3 - high,3 - high,3 - high,3 - high,3 - high,"POLYGON ((363503.56915955996 232176.43949809275, 360205.00378639874 231168.21786017402, 359665.7327275917 227651.3435289784, 362426.26167238347 225143.4229341342, 365724.72874603607 226153.16282565112, 366262.7658653301 229669.30539518618, 363503.56915955996 232176.43949809275))"
86195b007ffffff,3 - high,3 - high,3 - high,2 - medium,3 - high,"POLYGON ((324041.08704643673 98560.07344821, 320708.5585566476 97513.40065699277, 320159.03821497725 93946.68073248366, 322943.23642000137 91427.42514139015, 326275.6087439646 92475.60507040095, 326823.93972002337 96041.53384490724, 324041.08704643673 98560.07344821))"
861959977ffffff,3 - high,2 - medium,1 - low,3 - high,2 - medium,"POLYGON ((476225.2546125125 149718.5119116335, 472962.79150028946 148694.33434782657, 472444.7213366179 145174.03516020204, 475190.28301600035 142678.67066312602, 478452.6036541533 143704.3367473605, 478969.5057576456 147223.8791708439, 476225.2546125125 149718.5119116335))"
86194e45fffffff,2 - medium,1 - low,1 - low,3 - high,2 - medium,"POLYGON ((548185.6886332007 218977.76674861612, 544963.1499014725 217976.32807252806, 544461.8425986267 214492.34106999094, 547184.2493096794 212010.5152503745, 550406.6702957458 213013.4388607106, 550906.8029786908 216496.7036880672, 548185.6886332007 218977.76674861612))"
86195d5a7ffffff,3 - high,3 - high,2 - medium,3 - high,3 - high,"POLYGON ((424838.41343233606 244250.06678569107, 421567.18424825947 243248.56768790237, 421040.9885301132 239747.93774039892, 423787.2435797375 237249.5289089179, 427058.3749906224 238252.53702905437, 427583.34980710904 241752.44528694294, 424838.41343233606 244250.06678569107))"
861973087ffffff,1 - low,3 - high,1 - low,1 - low,1 - low,"POLYGON ((387147.4594994088 607837.8832156361, 383916.2632253104 606935.2737837626, 383390.7672412757 603555.6842952163, 386097.83346500667 601079.2739327924, 389329.0905143169 601983.4227086722, 389853.2212516927 605362.4426909653, 387147.4594994088 607837.8832156361))"
86194e84fffffff,2 - medium,1 - low,1 - low,3 - high,3 - high,"POLYGON ((621401.9732975538 238425.9263539415, 618213.5306641577 237433.84679002612, 617728.0605007792 233970.83483410167, 620432.1938202716 231500.6109940922, 623620.5215312816 232494.1651705997, 624104.831496626 235956.46889473393, 621401.9732975538 238425.9263539415))"
861951247ffffff,3 - high,3 - high,3 - high,2 - medium,3 - high,"POLYGON ((353260.81427546276 349136.125366052, 349974.61141466885 348159.4581280229, 349435.4432446796 344679.5110877316, 352183.76164394215 342176.91449488053, 355469.9188853649 343155.1135959171, 356007.8040416916 346634.37771763373, 353260.81427546276 349136.125366052))"
8619466c7ffffff,3 - high,1 - low,2 - medium,3 - high,3 - high,"POLYGON ((443457.6611333239 471138.70057322003, 440228.02964133007 470200.71362201567, 439711.863397244 466781.593150683, 442426.62971258943 464301.0841252295, 445656.258346384 465240.5955459571, 446171.1242046353 468659.0917615612, 443457.6611333239 471138.70057322003))"
8619416a7ffffff,1 - low,1 - low,1 - low,2 - medium,2 - medium,"POLYGON ((581549.2322794343 302142.5456659375, 578352.8382257046 301165.5087476376, 577861.4447933809 297715.37012587267, 580567.6422638108 295242.9538175873, 583763.9503577137 296221.4786814595, 584254.1476004408 299670.93220601557, 581549.2322794343 302142.5456659375))"
86194858fffffff,1 - low,2 - medium,2 - medium,3 - high,3 - high,"POLYGON ((606006.4595520077 150498.03104947292, 602799.250136587 149481.47823859073, 602307.270706258 145987.62050856088, 605023.6321655223 143511.06138003134, 608230.691648312 144529.08078219104, 608721.5402548902 148022.19307611865, 606006.4595520077 150498.03104947292))"
86195c0c7ffffff,1 - low,1 - low,1 - low,1 - low,1 - low,"POLYGON ((395063.2539800911 295193.98080904287, 391786.724740886 294204.7540055167, 391255.42667243147 290714.93508151313, 394001.90822673443 288215.0458737003, 397278.36437926715 289205.7922419078, 397808.4127519424 292694.9085633763, 395063.2539800911 295193.98080904287))"
86194620fffffff,1 - low,3 - high,1 - low,3 - high,3 - high,"POLYGON ((492406.7110348472 469061.9727963009, 489197.5763247287 468125.99890142237, 488692.4138229954 464715.8476966495, 491397.670947684 462242.29231855506, 494606.796474288 463179.781956334, 495110.67473408394 466589.3114671132, 492406.7110348472 469061.9727963009))"
8619586cfffffff,1 - low,3 - high,3 - high,1 - low,1 - low,"POLYGON ((332254.3130643538 151902.09862551081, 328932.01586585864 150870.29296925577, 328384.9296516335 147321.61781941468, 331161.3510956166 144805.51683926122, 334483.516051651 145838.8359472433, 335029.3924988094 149386.74295414414, 332254.3130643538 151902.09862551081))"
86194a027ffffff,2 - medium,1 - low,2 - medium,1 - low,1 - low,"POLYGON ((550272.5897895896 126134.85719127735, 547038.3508888944 125108.60283988874, 546534.3925332659 121596.00813390233, 549265.8110004831 119110.42825759566, 552499.8929500884 120138.1553161843, 553002.7140415908 123649.98991106247, 550272.5897895896 126134.85719127735))"
861870d37ffffff,2 - medium,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((158399.04865712512 43096.13070351278, 154992.3436397506 42024.91214119084, 154409.95610787507 38408.04369847276, 157235.4834943477 35863.22346518704, 160642.0153357131 36935.96856393007, 161223.1936792457 40552.00778508815, 158399.04865712512 43096.13070351278))"
861973887ffffff,1 - low,1 - low,1 - low,3 - high,2 - medium,"POLYGON ((413351.52376423776 637707.8203769751, 410136.48738692515 636814.9717373905, 409618.0405170248 633451.9773662459, 412315.99731566245 630982.3868244467, 415531.103117834 631876.7705632638, 416048.1833788278 635239.2099203882, 413351.52376423776 637707.8203769751))"
861958857ffffff,1 - low,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((393746.7215865127 224690.91393649124, 390459.7511903082 223682.34773920116, 389926.6262707944 220169.1335738622, 392681.6945984759 217665.2183799143, 395968.5610399863 218675.2967258853, 396500.46379465144 222187.77845516067, 393746.7215865127 224690.91393649124))"
8619732b7ffffff,2 - medium,1 - low,2 - medium,2 - medium,1 - low,"POLYGON ((400248.8914146496 572680.4632401428, 397017.37114126544 571768.6254448066, 396494.03955557244 568378.3159150794, 399203.57817748166 565900.4281475028, 402435.1429647019 566813.8021458562, 402957.1253023384 570203.5279099237, 400248.8914146496 572680.4632401428))"
861941327ffffff,1 - low,3 - high,2 - medium,2 - medium,1 - low,"POLYGON ((643252.1641262206 307863.5765067813, 640083.1905714932 306891.4982053592, 639605.1150635094 303455.62973038596, 642297.1931074641 300992.5177973362, 645466.0779608267 301966.0739569231, 645942.9741214891 305401.2644841176, 643252.1641262206 307863.5765067813))"
861942c47ffffff,1 - low,1 - low,2 - medium,1 - low,1 - low,"POLYGON ((432855.5413748942 441864.2578062087, 429616.83194458764 440917.5696967505, 429097.4604417904 437485.8638272056, 431818.0922902759 435001.4837940328, 435056.7877955919 435949.69657734083, 435574.86606074916 439380.7649707396, 432855.5413748942 441864.2578062087))"
86195cd77ffffff,3 - high,3 - high,3 - high,1 - low,2 - medium,"POLYGON ((398580.3142711464 359297.3455600658, 395314.6046518311 358325.95089655305, 394785.54394942225 354858.5412511964, 397523.46681156795 352363.2016948978, 400789.1308591584 353336.12113711576, 401316.918304512 356802.85564159084, 398580.3142711464 359297.3455600658))"
861942357ffffff,1 - low,3 - high,2 - medium,2 - medium,1 - low,"POLYGON ((463062.3832710172 375185.2514616604, 459826.27353935706 374221.73802377324, 459311.72935357067 370772.67198140424, 462034.5551414888 368287.7832034942, 465270.6198120308 369252.81141483213, 465783.9044344497 372701.2139060643, 463062.3832710172 375185.2514616604))"
8619466efffffff,3 - high,1 - low,3 - high,3 - high,3 - high,"POLYGON ((449398.47815040685 469597.19330201927, 446171.1242046353 468659.0917615612, 445656.258346384 465240.5955459571, 448370.04509021476 462760.82560384786, 451597.3948692925 463700.45048486174, 452110.96275197144 467118.3222067356, 449398.47815040685 469597.19330201927))"
86195c007ffffff,1 - low,2 - medium,2 - medium,1 - low,1 - low,"POLYGON ((400455.75110335415 310121.42380756466, 397183.63060829364 309136.591281188, 396653.8267488581 305652.8495780427, 399397.397959844 303154.63656716887, 402669.4514000924 304140.9891714759, 403198.00137141184 307624.0350126874, 400455.75110335415 310121.42380756466))"
8619433b7ffffff,2 - medium,1 - low,1 - low,3 - high,3 - high,"POLYGON ((513407.3520151732 297878.9042320897, 510181.2108796082 296896.9445134284, 509675.19430133747 293431.7321138306, 512396.53482649464 290949.1719219647, 515622.59390709124 291932.6309418484, 516127.39518737164 295397.1511554133, 513407.3520151732 297878.9042320897))"
86195d99fffffff,2 - medium,3 - high,1 - low,3 - high,3 - high,"POLYGON ((485679.85070884775 256228.9927270409, 482435.9728857762 255234.14936800976, 481922.83630341035 251749.6429958733, 484654.7858544482 249260.6920761593, 487898.56629856036 250257.03527238534, 488410.4952436912 253740.8298717774, 485679.85070884775 256228.9927270409))"
861943b97ffffff,2 - medium,1 - low,1 - low,3 - high,3 - high,"POLYGON ((535733.6777417752 324485.3823059121, 532520.9466508976 323511.9163700992, 532020.5676638524 320060.0820704587, 534734.1389356735 317582.39333948033, 537946.7971206905 318557.357184272, 538445.9576067108 322008.51214271627, 535733.6777417752 324485.3823059121))"
86194e707ffffff,3 - high,1 - low,1 - low,3 - high,3 - high,"POLYGON ((562285.868708203 210058.18817640957, 559068.1060450637 209055.13696680614, 558569.3967983441 205571.1398384454, 561289.6178522127 203090.9189524551, 564507.2580654187 204095.4516419124, 565004.8003344416 207578.72407180286, 562285.868708203 210058.18817640957))"
86194281fffffff,3 - high,3 - high,2 - medium,3 - high,3 - high,"POLYGON ((460399.43782564666 440095.17117060523, 457172.1316583477 439149.4600743373, 456658.88326594746 435722.6012594809, 459374.2257431239 433242.0900420783, 462601.5142736199 434189.3208615618, 463113.47864299925 437615.5434255387, 460399.43782564666 440095.17117060523))"
86194614fffffff,1 - low,2 - medium,2 - medium,2 - medium,2 - medium,"POLYGON ((492543.4785658689 511413.17602895666, 489341.1754662057 510488.9863972983, 488837.41251392104 507094.21158424695, 491537.25222073705 504624.23035455623, 494739.56336090644 505549.93771249906, 495242.02742769395 508944.10879536695, 492543.4785658689 511413.17602895666))"
